N,m,Time (seconds)
4,8,0.0010030269622802734
4,16,0.0010304450988769531
4,40,0.0010013580322265625
4,64,0.0020008087158203125
4,8,0.0010039806365966797
4,16,0.001997232437133789
4,40,0.0010027885437011719
4,64,0.0
4,8,0.0009996891021728516
4,16,0.001997709274291992
4,40,0.0010094642639160156
4,64,0.001233816146850586
4,8,0.0003032684326171875
4,16,0.0
4,40,0.0009982585906982422
4,64,0.0
4,8,0.0
4,16,0.0062334537506103516
4,40,0.0010013580322265625
4,64,0.0010020732879638672
5,10,0.0009989738464355469
5,25,0.0
5,75,0.007908105850219727
5,125,0.003204345703125
5,10,0.0010042190551757812
5,25,0.01874852180480957
5,75,0.0
5,125,0.0009982585906982422
5,10,0.0
5,25,0.03162527084350586
5,75,0.0
5,125,0.0
5,10,0.0010030269622802734
5,25,0.018817663192749023
5,75,0.006891012191772461
5,125,0.006004810333251953
5,10,0.000997781753540039
5,25,0.0017020702362060547
5,75,0.0
5,125,0.003003358840942383
6,12,0.0007154941558837891
6,36,0.0
6,126,0.0
6,216,0.0
6,12,0.0030024051666259766
6,36,0.001001596450805664
6,126,0.014139652252197266
6,216,0.009968996047973633
6,12,0.0
6,36,0.023982524871826172
6,126,0.0
6,216,0.004859209060668945
6,12,0.0
6,36,0.0762476921081543
6,126,0.001001119613647461
6,216,0.0017058849334716797
6,12,0.0030002593994140625
6,36,0.03082871437072754
6,126,0.0
6,216,0.0
7,14,0.003996133804321289
7,49,0.06267571449279785
7,196,0.01556849479675293
7,343,0.004745006561279297
7,14,0.003995418548583984
7,49,0.30240797996520996
7,196,0.03518319129943848
7,343,0.031758785247802734
7,14,0.004638671875
7,49,0.04292130470275879
7,196,0.0
7,343,0.004209041595458984
7,14,0.00500035285949707
7,49,0.08710718154907227
7,196,0.009000778198242188
7,343,0.004791975021362305
7,14,0.0
7,49,0.017218589782714844
7,196,0.06594300270080566
7,343,0.05075550079345703
8,16,0.0019991397857666016
8,64,0.01617574691772461
8,288,0.07921290397644043
8,512,0.04650235176086426
8,16,0.030870676040649414
8,64,0.022002696990966797
8,288,0.017696619033813477
8,512,0.01032710075378418
8,16,0.005683422088623047
8,64,0.07521414756774902
8,288,0.10326123237609863
8,512,0.05532121658325195
8,16,0.03426551818847656
8,64,0.3113281726837158
8,288,0.0
8,512,0.0
8,16,0.01838517189025879
8,64,1.0411617755889893
8,288,0.07132554054260254
8,512,0.08915090560913086
9,18,0.04538130760192871
9,81,0.17705345153808594
9,405,0.021641016006469727
9,729,0.0
9,18,0.039072275161743164
9,81,0.5123388767242432
9,405,0.26540112495422363
9,729,0.09670853614807129
9,18,0.022333145141601562
9,81,2.1759023666381836
9,405,0.21712708473205566
9,729,0.1213083267211914
9,18,0.03931570053100586
9,81,0.03237462043762207
9,405,0.015914201736450195
9,729,0.02272176742553711
9,18,0.03699135780334473
9,81,0.8924636840820312
9,405,0.24607610702514648
9,729,0.1683802604675293
10,20,0.11689424514770508
10,100,1.4586584568023682
10,550,0.08389997482299805
10,1000,0.05690622329711914
10,20,0.06726551055908203
10,100,0.08340048789978027
10,550,0.03508400917053223
10,1000,0.05197477340698242
10,20,0.060013771057128906
10,100,2.406893253326416
10,550,0.7319905757904053
10,1000,0.4044661521911621
10,20,0.11785030364990234
10,100,2.6813161373138428
10,550,0.015012979507446289
10,1000,0.0030171871185302734
10,20,0.1024777889251709
10,100,2.8930699825286865
10,550,0.21902060508728027
10,1000,0.17162585258483887
11,22,0.20730972290039062
11,121,0.38483500480651855
11,726,0.03064107894897461
11,1331,0.02510380744934082
11,22,0.16289830207824707
11,121,1.372438669204712
11,726,0.1581716537475586
11,1331,0.15825819969177246
11,22,0.1089639663696289
11,121,8.459080457687378
11,726,0.15119361877441406
11,1331,0.16771650314331055
11,22,0.08705329895019531
11,121,4.075771331787109
11,726,1.5778777599334717
11,1331,0.43752217292785645
11,22,0.15124845504760742
11,121,61.76741170883179
11,726,0.07918953895568848
11,1331,0.05764126777648926
12,24,0.5533714294433594
12,144,36.89036846160889
12,936,1.550550937652588
12,1728,0.8514580726623535
12,24,0.478823184967041
12,144,18.84619379043579
12,936,0.29116034507751465
12,1728,0.26276469230651855
12,24,0.41618871688842773
12,144,12.068680047988892
12,936,1.2765998840332031
12,1728,1.093501329421997
12,24,0.26488709449768066
12,144,0.7342853546142578
12,936,0.15050745010375977
12,1728,0.13317251205444336
12,24,0.4608609676361084
12,144,80.82028818130493
12,936,0.6802046298980713
12,1728,1.3425796031951904
